title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
Poker Face,Lady Gaga,2009,238,Fear,17,49,8,7,1,46,16,1,1,10,4
Just Dance,Lady Gaga Featuring Colby O'Donis,2009,242,Love,51,12,3,11,6,3,47,9,6,36,45
I Gotta Feeling,The Black Eyed Peas,2009,292,Anticipation,52,10,11,47,1,7,40,1,35,45,0
Love Story,Taylor Swift,2009,236,Joy,28,14,1,12,1,5,18,6,6,6,4
Right Round,Flo Rida,2009,204,Anticipation,24,10,11,19,2,8,14,1,9,14,4
I'm Yours,Jason Mraz,2009,221,Joy,22,14,5,12,3,1,15,5,2,4,1
Single Ladies (Put A Ring On It),Beyonce,2009,194,Anger,16,10,10,6,9,10,7,10,4,9,0
Heartless,Kanye West,2009,211,Sadness,8,28,10,2,9,9,3,21,6,3,1
Gives You Hell,The All-American Rejects,2009,213,Disgust,47,47,40,39,43,36,40,39,36,43,0
You Belong With Me,Taylor Swift,2009,229,Joy,12,12,3,8,0,0,10,3,5,10,2
You Found Me,The Fray,2009,243,Fear,9,9,2,1,1,7,2,6,1,0,1
Use Somebody,Kings Of Leon,2009,231,Anticipation,4,1,0,10,0,1,3,0,2,5,0
Blame It,Jamie Foxx Featuring T-Pain,2009,289,Anger,15,52,44,8,40,6,3,4,3,9,1
I Know You Want Me (Calle Ocho),Pitbull,2009,220,Anticipation,8,4,3,6,2,1,5,0,0,3,3
Live Your Life,T.I. Featuring Rihanna,2009,338,Fear,11,20,7,10,1,11,7,3,3,10,1
Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,2009,193,Joy,43,1,0,25,1,0,41,1,24,1,38
Down,Jay Sean Featuring Lil Wayne,2009,213,Sadness,26,28,5,8,4,13,12,24,4,2,11
The Climb,Miley Cyrus,2009,229,Anticipation,8,14,8,13,4,8,5,5,6,4,1
Best I Ever Had,Drake,2009,257,Joy,30,17,9,16,3,4,19,6,7,19,5
My Life Would Suck Without You,Kelly Clarkson,2009,211,Surprise,2,12,1,1,1,1,1,0,2,1,0
Halo,Beyonce,2009,262,Love,27,15,2,13,0,9,18,3,10,15,23
Hot N Cold,Katy Perry,2009,221,Anger,16,26,15,9,1,11,12,6,11,6,4
Second Chance,Shinedown,2009,222,Surprise,6,9,3,7,3,4,6,5,11,9,0
Circus,Britney Spears,2009,193,Trust,22,14,11,14,1,10,13,1,9,23,2
Day 'N' Nite,Kid Cudi,2009,222,Fear,8,19,15,4,14,19,6,16,2,5,0
Party In The U.S.A.,Miley Cyrus,2009,202,Anticipation,8,10,2,5,2,3,2,4,1,1,0
Run This Town,"Jay-Z, Rihanna & Kanye West",2009,176,Trust,27,21,12,13,8,18,15,10,10,22,3
Fire Burning,Sean Kingston,2009,239,Fear,40,14,4,8,3,40,31,8,9,29,0
Whatcha Say,Jason Derulo,2009,222,Surprise,10,5,1,6,1,1,6,3,9,7,1
LoveGame,Lady Gaga,2009,217,Joy,30,14,6,10,7,2,20,6,4,3,3
Waking Up In Vegas,Katy Perry,2009,200,Joy,19,12,13,8,11,8,19,6,9,9,6
Birthday Sex,Jeremih,2009,226,Anticipation,35,11,4,36,0,1,32,4,18,16,15
Sober,P!nk,2009,251,Love,22,10,5,15,3,8,20,8,17,21,20
Womanizer,Britney Spears,2009,225,Disgust,17,26,9,4,15,8,14,10,3,5,9
Whatever You Like,T.I.,2009,249,Love,25,13,1,12,4,0,16,7,9,9,21
Obsessed,Mariah Carey,2009,243,Disgust,14,34,17,10,18,9,7,9,9,8,4
Mad,Ne-Yo,2009,254,Fear,21,36,25,7,16,31,18,27,5,6,9
Love Lockdown,Kanye West,2009,271,Joy,31,17,11,8,12,15,29,13,12,4,1
So What,P!nk,2009,216,Anticipation,29,13,10,17,3,8,12,3,7,14,0
Hotel Room Service,Pitbull,2009,238,Anticipation,20,12,3,15,3,3,15,4,4,3,2
Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",2009,297,Anger,37,58,34,18,23,28,17,20,17,16,1
If I Were A Boy,Beyonce,2009,250,Disgust,12,18,8,5,9,7,8,8,4,8,0
Turnin Me On,Keri Hilson Featuring Lil Wayne,2009,248,Anticipation,18,15,9,12,7,5,12,2,6,11,6
I Hate This Part,The Pussycat Dolls,2009,219,Sadness,6,22,12,7,11,12,0,17,7,2,0
Gotta Be Somebody,Nickelback,2009,254,Trust,16,7,6,6,0,12,13,5,0,18,0
Please Don't Leave Me,P!nk,2009,231,Sadness,6,23,7,2,3,3,6,19,19,2,4
Paparazzi,Lady Gaga,2009,209,Love,38,10,2,5,4,1,30,1,2,15,23
Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,2009,314,Joy,72,46,29,7,26,8,62,33,9,13,49
Viva La Vida,Coldplay,2009,242,Trust,30,10,7,8,5,12,12,9,4,23,0
Right Now (Na Na Na),Akon,2009,241,Sadness,3,10,7,7,6,2,2,10,8,4,0
Battlefield,Jordin Sparks,2009,241,Fear,33,67,10,8,1,79,14,9,8,20,1
Sugar,Flo Rida Featuring Wynter,2009,252,Love,79,14,8,29,7,7,41,4,31,30,52
Miss Independent,Ne-Yo,2009,232,Love,21,6,3,8,1,5,17,5,1,10,10
Fireflies,Owl City,2009,229,Sadness,6,12,2,0,3,3,4,8,5,7,1
New Divide,Linkin Park,2009,268,Sadness,19,21,12,6,4,12,4,13,4,12,0
