title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Temperature,Sean Paul,2006,218,Trust,28,29,12,13,10,4,9,5,0,19
Promiscuous,Nelly Furtado Featuring Timbaland,2006,243,Anticipation,18,41,14,16,15,13,7,16,5,11
You're Beautiful,James Blunt,2006,212,Joy,18,1,1,7,1,1,17,1,6,8
Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,219,Joy,34,23,18,13,10,10,20,15,6,14
Unwritten,Natasha Bedingfield,2006,256,Trust,27,4,0,9,3,0,9,1,7,19
Crazy,Gnarls Barkley,2006,178,Fear,5,12,11,6,2,12,5,12,6,5
Ridin',Chamillionaire Featuring Krayzie Bone,2006,303,Surprise,31,75,17,5,56,14,15,15,58,14
SexyBack,Justin Timberlake,2006,242,Anticipation,11,12,7,12,5,7,9,4,3,4
Check On It,Beyonce Featuring Slim Thug,2006,210,Anticipation,14,27,6,20,10,14,7,2,11,7
Be Without You,Mary J. Blige,2006,248,Joy,33,12,3,10,2,2,21,5,2,9
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2006,273,Trust,46,25,15,19,8,9,22,14,22,24
Over My Head (Cable Car),The Fray,2006,237,Sadness,3,15,4,1,3,5,1,10,10,2
Me & U,Cassie,2006,194,Joy,20,9,5,10,1,1,16,1,3,6
Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006,226,Joy,11,3,0,2,1,0,8,2,3,0
Run It!,Chris Brown,2006,230,Joy,22,16,5,11,3,0,13,5,5,13
So Sick,Ne-Yo,2006,207,Disgust,11,5,1,0,5,1,4,5,0,1
It's Goin' Down,Yung Joc,2006,241,Trust,13,14,8,6,6,4,2,4,4,10
SOS,Rihanna,2006,239,Surprise,29,32,23,16,25,22,13,23,29,12
Move Along,The All-American Rejects,2006,239,Surprise,8,13,2,5,3,2,5,4,6,6
London Bridge,Fergie,2006,209,Anger,20,29,26,24,26,3,5,2,1,8
Dani California,Red Hot Chili Peppers,2006,288,Trust,24,7,5,9,1,5,14,5,5,16
Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006,274,Trust,35,13,9,4,8,6,2,4,4,10
"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006,229,Trust,150,27,13,8,12,10,14,13,13,17
What Hurts The Most,Rascal Flatts,2006,325,Fear,9,13,6,4,1,10,8,9,4,6
How To Save A Life,The Fray,2006,263,Joy,28,25,16,7,14,13,23,15,13,23
Unfaithful,Rihanna,2006,227,Sadness,12,21,9,7,7,16,6,17,1,3
Chasing Cars,Snow Patrol,2006,268,Disgust,5,13,4,2,5,1,3,4,0,4
Lips Of An Angel,Hinder,2006,261,Trust,25,4,1,15,0,1,13,3,15,20
Everytime We Touch,Cascada,2006,215,Anticipation,13,4,1,7,1,1,6,3,6,4
Ain't No Other Man,Christina Aguilera,2006,228,Trust,16,7,1,9,4,1,9,7,4,12
"Dance, Dance",Fall Out Boy,2006,181,Joy,53,17,5,6,4,5,43,10,1,36
Gold Digger,Kanye West Featuring Jamie Foxx,2006,208,Joy,43,7,7,13,1,3,21,6,17,16
Money Maker,Ludacris Featuring Pharrell,2006,231,Anticipation,46,34,36,42,11,16,34,11,26,40
(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006,244,Joy,23,7,3,12,1,1,19,3,9,6
Photograph,Nickelback,2006,258,Anticipation,14,7,3,20,2,10,13,5,7,12
Because Of You,Kelly Clarkson,2006,220,Sadness,10,24,7,4,4,12,6,13,6,6
Stickwitu,The Pussycat Dolls,2006,208,Joy,14,2,0,4,0,2,13,3,2,3
I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006,266,Joy,25,9,5,2,2,3,24,2,3,1
My Humps,The Black Eyed Peas,2006,327,Joy,33,29,16,22,11,8,30,7,20,21
Where'd You Go,Fort Minor Featuring Holly Brook,2006,236,Anticipation,9,7,2,11,3,0,3,3,2,3
Yo (Excuse Me Miss),Chris Brown,2006,230,Joy,34,19,3,7,2,2,27,6,6,16
Walk Away,Kelly Clarkson,2006,190,Trust,14,9,1,4,1,5,4,3,1,6
Laffy Taffy,D4L,2006,224,Joy,102,31,10,8,9,11,18,7,16,12
What You Know,T.I.,2006,275,Trust,48,32,17,17,16,11,20,8,9,31
Dirty Little Secret,The All-American Rejects,2006,194,Disgust,5,29,4,7,17,2,3,11,3,16
Savin' Me,Nickelback,2006,219,Trust,13,11,4,5,3,4,8,5,11,16
Don't Forget About Us,Mariah Carey,2006,234,Joy,37,32,2,7,7,3,29,11,6,13
Sexy Love,Ne-Yo,2006,222,Joy,37,2,1,5,1,2,37,5,3,6
U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006,202,Disgust,26,70,36,18,40,27,7,21,16,10
Far Away,Nickelback,2006,238,Anticipation,11,8,1,9,1,3,8,6,5,1
What's Left Of Me,Nick Lachey,2006,244,Sadness,2,25,1,2,4,4,1,17,15,1
So What,Field Mob Featuring Ciara,2006,216,Trust,17,31,14,3,13,12,8,11,2,16
Black Horse & The Cherry Tree,KT Tunstall,2006,225,Trust,12,9,5,6,4,3,6,8,5,11
There It Go! (The Whistle Song),Juelz Santana,2006,181,Anticipation,20,5,7,8,2,0,7,1,3,7
Shoulder Lean,Young Dro Featuring T.I.,2006,259,Trust,73,24,4,1,4,8,7,13,11,61
Unpredictable,Jamie Foxx Featuring Ludacris,2006,219,Joy,38,17,5,7,0,0,22,0,12,5
My Love,Justin Timberlake Featuring T.I.,2006,371,Joy,58,15,9,7,3,9,53,9,6,7
Shake That,Eminem Featuring Nate Dogg,2006,275,Anger,23,53,28,13,27,17,13,23,14,14
Pullin' Me Back,Chingy Featuring Tyrese,2006,234,Anticipation,22,24,12,25,5,8,12,18,16,10
Bossy,Kelis Featuring Too $hort,2006,274,Fear,39,33,25,26,23,32,25,14,9,12
Chain Hang Low,Jibbs,2006,207,Anger,27,28,19,5,10,2,14,5,3,4
Smack That,Akon Featuring Eminem,2006,213,Anger,11,59,48,9,1,10,8,10,2,5
One Wish,Ray J,2006,242,Joy,35,11,3,6,5,3,34,3,4,23
"Sugar, We're Goin' Down",Fall Out Boy,2006,230,Fear,17,13,9,1,1,11,0,3,2,4
Gimme That,Chris Brown Featuring Lil Wayne,2006,238,Anger,15,4,8,6,3,2,3,6,7,4
I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006,241,Anticipation,14,12,10,11,8,9,6,6,2,8
Who Says You Can't Go Home,Bon Jovi,2006,231,Disgust,2,11,3,3,4,4,1,4,4,2
Too Little Too Late,JoJo,2006,220,Sadness,12,38,0,9,3,2,5,21,3,7
Touch It,Busta Rhymes,2006,215,Anticipation,24,41,17,38,11,35,17,28,32,16
Rompe,Daddy Yankee,2006,189,Anticipation,3,2,2,9,1,1,2,0,7,2
Deja Vu,Beyonce Featuring Jay Z,2006,240,Joy,25,11,5,5,7,6,13,3,5,11
Life Is A Highway,Rascal Flatts,2006,276,Anticipation,5,5,1,20,1,3,5,4,2,2
Call Me When You're Sober,Evanescence,2006,214,Sadness,4,18,7,1,9,4,4,16,2,0
"Jesus, Take The Wheel",Carrie Underwood,2006,227,Anticipation,12,4,1,9,1,3,9,4,4,8
Show Stopper,Danity Kane,2006,229,Trust,19,12,3,22,9,2,11,5,9,43
Get Up,Ciara Featuring Chamillionaire,2006,261,Anticipation,25,15,5,14,4,8,13,4,10,9
We Be Burnin',Sean Paul,2006,216,Anticipation,29,8,7,16,5,4,16,3,4,13
You And Me,Lifehouse,2006,195,Anticipation,5,3,3,4,3,3,2,3,4,2
Beep,The Pussycat Dolls Featuring will.i.am,2006,230,Trust,11,11,3,4,3,9,0,7,0,10
I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2006,283,Trust,36,25,18,17,5,18,20,13,3,23
Say Goodbye,Chris Brown,2006,290,Anticipation,12,9,1,27,1,4,7,8,3,4
Waiting On The World To Change,John Mayer,2006,202,Anticipation,7,34,2,32,0,13,1,0,0,3
Soul Survivor,Young Jeezy Featuring Akon,2006,281,Trust,24,30,10,14,10,15,6,8,11,18
Pump It,The Black Eyed Peas,2006,214,Anger,13,19,13,1,10,7,4,2,7,3
When I'm Gone,Eminem,2006,281,Joy,47,36,4,16,2,21,34,24,23,24
Hung Up,Madonna,2006,337,Anticipation,8,24,0,37,0,0,8,2,1,0
Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2006,238,Fear,23,31,15,11,14,19,8,15,8,11
Love,Keyshia Cole,2006,256,Joy,9,7,1,8,2,1,9,4,3,0
When You're Mad,Ne-Yo,2006,222,Anger,23,23,24,16,16,11,20,6,12,5
Why You Wanna,T.I.,2006,215,Joy,44,19,6,12,9,9,20,12,7,18
Stupid Girls,P!nk,2006,195,Joy,13,31,6,8,6,7,12,7,6,7
Feel Good Inc,Gorillaz,2006,222,Anticipation,30,11,5,25,2,16,23,5,21,21
I'm Sprung,T-Pain,2006,185,Anger,4,5,4,4,1,2,1,3,2,3
Do I Make You Proud,Taylor Hicks,2006,248,Joy,29,6,2,12,0,5,17,1,1,14
For You I Will (Confidence),Teddy Geiger,2006,228,Fear,12,8,5,3,0,15,10,3,3,10
