tweet_id,sentiment,status
1956967341,empty,know listenin bad habit earlier started freakin part
1956967666,sadness,layin n bed headache ughh waitin call
1956967696,sadness,funeral ceremony gloomy friday
1956967789,enthusiasm,want hang friend soon
1956968416,neutral,want trade someone houston ticket one
1956968477,worry,pinging ghostridah14 go prom bc bf like friend
1956968487,sadness,sleep im thinking old friend want married damn amp want 2 scandalous
1956968636,worry,hmm http ww djhero com
1956969035,sadness,charlene love miss
1956969172,sadness,kelcouch sorry least friday
1956969456,neutral,cant fall asleep
1956969531,worry,choked retainer
1956970047,sadness,ugh beat stupid song get next rude
1956970424,sadness,brodyjenner u watch hill london u realise tourture week week late watch itonlinelol
1956970860,surprise,got news
1956971077,sadness,storm electricity gone
1956971170,love,annarosekerr agreed
1956971206,sadness,sleepy even late fail
1956971473,worry,perezhilton lady gaga tweeted impressed video leaking know
1956971586,sadness,convinced always wanted signal give damn think lost another friend
1956971981,worry,raaek oh bad hope get better sleep issue lately
1956972097,fun,wondering awake 7am writing new song plotting evil secret plot muahahaha oh damn secret anymore
1956972116,neutral,topic map talk balisage conference 2009 program online http tr im via bobdc topicmaps
1956972270,worry,ate something know keep telling thing food
1956972359,sadness,tired think definitely going get ear infection going bed quot early quot
1956972444,worry,way home n 2 deal w underage girl drinking gin da bus talking bout damn feel old
1956972557,sadness,isaacmascote sorry people rude isaac get manner know better
1956972884,worry,damm server still need hit 80 pas
1956973598,sadness,fudge b whole paper tired ugh hate school time sleep
1956973690,worry,hate cancer hate hate hate
1956974706,hate,annoying start typing computer middle night
1956975441,neutral,cynthia_123 cant sleep
1956975860,neutral,missed bl bus
1956975876,neutral,feel strong contraction want go http plurk com p wxidk
1956975927,neutral,socal stoked maybe tomorrow
1956976187,neutral,screw davidbrussee 3 week
1956976312,sadness,ether_radio yeah feel funny cause slept enough woke mum cause singing impressed
1956976371,worry,need skott right
1956976557,neutral,work afternoon
1956976681,neutral,gabbyisactive aw would unfollow would would cry
1956977084,happiness,mm much better day far still quite early last day uds
1956977187,fun,davidarchie lt 3 gonna first twitter cause amazing lol come canada would anything see perform
1956977618,worry,picked blackberry middle street crushed
1956977624,worry,feeling packing hitting sfo around time year think missing something
1956978276,empty,creyes middle school elem high school remain open need credit graduate cali broken
1956978410,worry,bed time hope go school tomorrow though feel well right
1956978668,worry,ahh well hoping could learn stuff way work separate thing also
1956979150,sadness,problem photo twitter amf see face
1956979437,neutral,jakeboyd oh noo blow tire reaally going send batman smoke
1956979756,neutral,wnna take bath
1956979894,neutral,chocolate milk much better straw lack said straw
1956979900,worry,tired
1956979917,empty,hey yu lil fucker textd yu
1956980788,neutral,mennard time diff wrapped day day stuff havent tweeting talk soon must sleep 6hrs
1956980883,neutral,benballer way damn suck b ok
1956980972,worry,suck able take day work money take trip sad
1956981427,enthusiasm,bed sorta today good sara strep thought angelina shared water b4 told prob get
1956981850,neutral,recession hotel restructuring account done add bit pressure short term cope
1956982075,neutral,got dibs sulu
1956982383,sadness,maternitytees aww onward upwards yay still sad leave bet
1956982449,worry,itsgabbith haha poor aby still get sore
1956982576,sadness,diesel yaris 70mpg sad available u awesome
1956982605,sadness,want buy great album unfortunately dont hav enuff fund quot long time noisy quot
1956983160,sadness,honesty pain blech
1956983171,sadness,ok passenger one alive dead know til end cry
1956983467,neutral,home alone much
1956983509,worry,davidcooklove ia much really happy cook choice single
1956983690,sadness,vincew stefanyngo fell asleep beach put enough sunscreen lol
1956983851,worry,think son might flu cause def cleaned stanky puke mess poor pumkpin
1956983874,happiness,great see oin amp cynthia happy dinner great cute little place bad oin got sick afterwards
1956983931,neutral,cant give jertronic bday nudge
1956984185,worry,woman transfer first impression onto le threatening man weak
1956984205,neutral,brother bloom opening weekend el paso buy brick enjoy watch brother bloom
1956984559,neutral,say miss plurking http plurk com p
1956984864,worry,bitten blood cat way rabies seems 7 shot 2 month never wash cat home hate water
1956984894,neutral,miss voobys
1956985129,neutral,dancing_monk neither elp
1956985535,happiness,havingmysay dude favorite sandwich place ever umm take picture
1956985612,worry,sad shin ae got married alex
1956985758,worry,sure tweet back news abuzz tr knight leaving quot confirmed quot today muy triste
1956985764,sadness,rachellock22 ohh thursday exam day wednesday
1956985973,neutral,mix dentist appt afternoon rescheduled tomorrow 9am
1956986211,sadness,gcrush nopantsdance thinking excited guy move realized sad see go
1956986359,worry,good moorning people sun spring first spring hail storm car dimple
1956986767,sadness,artfuldodga love usb stick 4gb australia
1956987381,worry,fresh prince sleepy sleep nightly routine gotta go dmv early tmrw
1956987600,hate,dammit hulu desktop totally screwed ability talk particular port one dev server watch code
1956987828,worry,emmarler jealous mom talking taylorswift13 want see twittering making miss
1956987904,worry,sleep keep thinking puppy played today
1956987950,worry,supposed sleep got much amp got one part song stuck head quot jerk iknow quot
1956988145,neutral,going sweetheart
1956988218,neutral,freaking difficult get system wide spellchecker shit settle office suite one stupid unhelpful window
1956988223,worry,last one month due summer strawberry availble chennai market
1956988477,neutral,work 6am gotta go bed soon
1956989093,love,robertf3 correct adore plucked put arm cuz cryin better hahaha
1956989514,sadness,hii im ipod cant fall asleep
1956989526,sadness,dont wanna work 11 830 tomorrow get paid
1956989560,sadness,feel sad coz wasnt able play guy http plurk com p wxiux
1956989561,neutral,princecharming
1956989601,hate,cayogial wanted come bz summer sure anymore teacher life summer suck
1956989914,worry,first ever dropped call mobile call telstra le charged data even though data pack
1956990288,hate,mrgenius23 win sigh
1956990413,neutral,oh time real
1956990568,sadness,darn allergy like time year never used problem either
1956990729,worry,oh one minute late oh well
1956991009,hate,soviet_star damn suck
1956991673,sadness,cayogial wanted come bz summer sure anymore teacher life summer suck
1956991704,hate,mileycyrus website gave virus opened window kept popping
1956991723,worry,ahh big scary bug flying around room
1956992030,sadness,wish knew put stole heart never gave back occasionally like like look
1956992144,worry,nasty cough cant sick huge weekend ahead
1956992349,neutral,justamedicine stone cold crazy
1956993007,boredom,tired
1956993080,neutral,shift time bbye biochem waahh http plurk com p
1956993206,neutral,melbournegirl sure some1 cum play workin til midnight
1956994067,neutral,second wish rained
1956995196,sadness,neesabear early happy day birth case make tired therapy today n taking medicine misshu love ya
1956995505,neutral,damn eric anyone else need hair played
1956995679,neutral,feel deflated ugh dog
1956995762,sadness,allergy suck duck nut lt 8 8 gt
1956995852,neutral,well almost good day guess retry tomorrow
1956996081,hate,iamyete waraku tasteless expensive little waraku
1956996385,love,freepbx sound good appreciate suggestion week still offline time ask refund
1956996470,worry,poinktoinkdoink died wait magic jack read
1956996673,hate,britblackbird
1956996730,sadness,wonder karma point turned 0 00 http plurk com p
1956996765,happiness,need pack cali cali cannot waitt thinking glass wine order celebrate weekend vaca still work 2morrow tho
1956996776,sadness,miserable feel like im gona cry sux
1956997143,neutral,megturney well ran beer left sure eta waiting waiting waiting bleh gonna long nite methinks
1956997352,worry,nose stud fell find look like head amsterdam today get new one
1956997619,neutral,claire breakfastnt love show got office 5am radio
1956998370,love,pat philly 2 love mm cheesesteak miss boyfriend love vacation
1956998532,sadness,sigh going bed feel right anymore
1956998538,neutral,focused tom much see beloved barack oh must vote poor president 626 vote
1956998698,neutral,jwillock epicentre wheelock place tourist
1956998704,sadness,depressed watching think dance
1957000040,sadness,cross cause stuck twiddling thumb ugh
1957000077,neutral,miss 16 th
1957000152,neutral,theharvardian know like said idea long take investigate stuff
1957000290,worry,cant sleep im sore move
1957000314,neutral,lafloozita http twitpic com 4phze awe miss baby
1957000336,empty,softtouchme answered never learned write french basic stuff
1957000372,neutral,chocolate never say
1957000788,worry,achieving new appreciation xml build script really painful cumbersome
1957001049,neutral,ether_radio awake ill nap afternoon
1957001370,worry,omfgiselle cant anything
1957001496,neutral,still need another 6 hour sleep
1957001506,relief,work
1957001854,fun,rip leonardo great mini fiddler crab
1957001967,neutral,morning tweeple way early
1957002082,sadness,last day working uni today sad time
1957002773,love,thanks gonna soo close izzy yet far
1957002923,worry,head hurt bad could scream
1957003048,worry,go im tired airmatras broken somewhere im even pain
1957003356,worry,new work wellness challenge going well committed check email 10 pm 6 failed first day twice
1957003440,worry,new blog post blog auto insuran found auto insurance policy expired careless meanw
1957003715,neutral,bestfriends mia wat
1957004184,worry,oh men really see face c mon guy
1957004519,worry,showing age renewed tag last week went 20 got insurance renewal email today went 100 wanna old
1957004606,worry,sole supporter sole supporter
1957004749,hate,hate finish work still 1 25 hour left work time
1957005165,worry,emilyy16 urgh stop guy
1957005226,sadness,still missing husband really want home
1957005279,sadness,miss puppy
1957005410,surprise,2 day month left left onpeak downloads
1957005696,fun,idlethumbs get look amazing
1957005713,sadness,nzdeany given pizza kid would never let fav hot one
1957005817,worry,reading tabloid people life thinking gonna mine baby leaf
1957006033,sadness,yearling pet home died sad whole family
1957006074,neutral,fun sun hmm hell cold
1957006098,worry,got giant splinter stuck underneath finger nail today muppets hurt got go first aid first time
1957006245,sadness,heresmyhello92 hate change course fan life lt 3 oh met rob something went horribly wrong
1957006307,worry,feeling sad reason http plurk com p wxji3
1957006547,sadness,well fuck new pain med odd warning actually applies take chan displeased
1957006674,sadness,uploaded new blog painful story 80 year old man cried wanted die sad
1957006725,neutral,juneyee think want detail
1957006830,neutral,jackgraycnn hi mary poppins
1957006947,worry,addicting kind curse night time everytime one feel like making music afterwards
1957007167,neutral,last tweet send bad phone
1957007268,fun,relly1 omg ur alive lol 2day gone soo slow going insane grr anything tonight
1957007357,empty,headache going bed goodnight
1957007394,neutral,watching parental control
1957007437,fun,get california vintage ahahah best dress want dont ebay
1957007633,sadness,saw pic past thanksgiving sad grandma
1957007981,worry,jertronic wont let
1957008075,sadness,took shift tomorrow really feel like working right
1957008193,sadness,money phone
1957008287,worry,spent last night amp e er wife tangled wheel daughter amp hit deck dislocation amp fracture resulted
1957008292,worry,thelastdoctor 9 day ready visit torchwood see heard anything
1957008434,surprise,bern_morley bris hear thunder
1957008478,surprise,bec v fat food winner fat food weeknend ill beat
1957008498,sadness,bad red devil disappointing say least
1957008766,surprise,dream pretty pretty beach beach woke
1957008802,sadness,9650se fast enough 3x x25 ssd 800mhz iop hpt might try adaptec 5405 1 2ghz
1957008987,surprise,da heck garage man get ask
1957009454,worry,ate mandy please forgive really sorry wanna lose bff
1957009666,hate,melluffsyew umm yeah probably pretty good note self eeww
1957010072,worry,plane ticket expensive
1957010329,fun,melluffsyew umm yeah probably pretty good note self eeww
1957010415,worry,need job badly
1957011291,sadness,alexandergwhite daammnn wish
1957011738,worry,went di bella coffee today asked job person needed speak holiday fb
1957012476,sadness,played latter part voodoo village part co op lost usual partner
1957012535,empty,dymediva23 nite n bored opposed almost sleep frm b 4
1957012769,sadness,bad friend
1957013149,neutral,rlcpbiatch happy birthdayy hope awesome day see next last night
1957013166,hate,sparkdawgmusic im shit right im vacation got workin
1957013488,neutral,aiderushton ill oir
1957013697,neutral,only1kcj guess go girlie still gym work 6 30am
1957013723,hate,would wish severe would stop doc prescription arent working
1957013804,love,missed game
1957013885,sadness,moggy99 internet last night er brill massive explosion end nearby gas work er standby
1957013895,hate,cuz airline super lame
