Words,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
dearest,1,0,0,0,0,0,0,0,0,1,1
swoon,1,0,0,0,0,0,0,0,0,0,1
abacus,0,0,0,0,0,0,0,0,0,1,0
abandon,0,1,0,0,0,1,0,1,0,0,0
abandoned,0,1,1,0,0,1,0,1,0,0,0
abandonment,0,1,1,0,0,1,0,1,1,0,0
abba,1,0,0,0,0,0,0,0,0,0,0
abbot,0,0,0,0,0,0,0,0,0,1,0
abduction,0,1,0,0,0,1,0,1,1,0,0
aberrant,0,1,0,0,0,0,0,0,0,0,0
aberration,0,1,0,0,1,0,0,0,0,0,0
abhor,0,1,1,0,1,1,0,0,0,0,0
abhorrent,0,1,1,0,1,1,0,0,0,0,0
ability,1,0,0,0,0,0,0,0,0,0,0
abject,0,1,0,0,1,0,0,0,0,0,0
abnormal,0,1,0,0,1,0,0,0,0,0,0
abolish,0,1,1,0,0,0,0,0,0,0,0
abolition,0,1,0,0,0,0,0,0,0,0,0
abominable,0,1,0,0,1,1,0,0,0,0,0
abomination,0,1,1,0,1,1,0,0,0,0,0
abort,0,1,0,0,0,0,0,0,0,0,0
abortion,0,1,0,0,1,1,0,1,0,0,0
abortive,0,1,0,0,0,0,0,1,0,0,0
abovementioned,1,0,0,0,0,0,0,0,0,0,0
abrasion,0,1,0,0,0,0,0,0,0,0,0
abrogate,0,1,0,0,0,0,0,0,0,0,0
abrupt,0,0,0,0,0,0,0,0,1,0,0
abscess,0,1,0,0,0,0,0,1,0,0,0
absence,0,1,0,0,0,1,0,1,0,0,0
absent,0,1,0,0,0,0,0,1,0,0,0
absentee,0,1,0,0,0,0,0,1,0,0,0
absenteeism,0,1,0,0,0,0,0,0,0,0,0
absolute,1,0,0,0,0,0,0,0,0,0,0
absolution,1,0,0,0,0,0,1,0,0,1,0
absorbed,1,0,0,0,0,0,0,0,0,0,0
absurd,0,1,0,0,0,0,0,0,0,0,0
absurdity,0,1,0,0,0,0,0,0,0,0,0
abundance,1,1,0,1,1,0,1,0,0,1,0
abundant,1,0,0,0,0,0,1,0,0,0,0
abuse,0,1,1,0,1,1,0,1,0,0,0
abysmal,0,1,0,0,0,0,0,1,0,0,0
abyss,0,1,0,0,0,1,0,1,0,0,0
academic,1,0,0,0,0,0,0,0,0,1,0
academy,1,0,0,0,0,0,0,0,0,0,0
accelerate,0,0,0,1,0,0,0,0,0,0,0
acceptable,1,0,0,0,0,0,0,0,0,0,0
acceptance,1,0,0,0,0,0,0,0,0,0,0
accessible,1,0,0,0,0,0,0,0,0,0,0
accident,0,1,0,0,0,1,0,1,1,0,0
accidental,0,1,0,0,0,1,0,0,1,0,0
accidentally,0,0,0,0,0,0,0,0,1,0,0
accolade,1,0,0,1,0,0,1,0,1,1,0
accommodation,1,0,0,0,0,0,0,0,0,0,0
accompaniment,1,0,0,1,0,0,1,0,0,1,0
accomplish,1,0,0,0,0,0,1,0,0,0,0
accomplished,1,0,0,0,0,0,1,0,0,0,0
accomplishment,1,0,0,0,0,0,0,0,0,0,0
accord,1,0,0,0,0,0,0,0,0,1,0
account,0,0,0,0,0,0,0,0,0,1,0
accountability,1,0,0,0,0,0,0,0,0,1,0
accountable,1,0,0,0,0,0,0,0,0,1,0
accountant,0,0,0,0,0,0,0,0,0,1,0
accounts,0,0,0,0,0,0,0,0,0,1,0
accredited,1,0,0,0,0,0,0,0,0,1,0
accueil,1,0,0,0,0,0,0,0,0,0,0
accurate,1,0,0,0,0,0,0,0,0,1,0
accursed,0,1,1,0,0,1,0,1,0,0,0
accusation,0,1,1,0,1,0,0,0,0,0,0
accusative,0,1,0,0,0,0,0,0,0,0,0
accused,0,1,1,0,0,1,0,0,0,0,0
accuser,0,1,1,0,0,1,0,0,0,0,0
accusing,0,1,1,0,0,1,0,0,0,0,0
ace,1,0,0,0,0,0,0,0,0,0,0
ache,0,1,0,0,0,0,0,1,0,0,0
achieve,1,0,0,0,0,0,1,0,0,1,0
achievement,1,0,0,1,0,0,1,0,0,1,0
aching,0,1,0,0,0,0,0,1,0,0,0
acid,0,1,0,0,0,0,0,0,0,0,0
acknowledgment,1,0,0,0,0,0,0,0,0,0,0
acquire,1,0,0,0,0,0,0,0,0,0,0
acquiring,1,0,0,1,0,0,0,0,0,0,0
acrobat,1,0,0,0,0,1,1,0,0,1,0
action,1,0,0,0,0,0,0,0,0,0,0
actionable,0,1,1,0,1,0,0,0,0,0,0
actual,1,0,0,0,0,0,0,0,0,0,0
acuity,1,0,0,0,0,0,0,0,0,0,0
acumen,1,0,0,0,0,0,0,0,0,0,0
adapt,1,0,0,0,0,0,0,0,0,0,0
adaptable,1,0,0,0,0,0,0,0,0,0,0
adder,0,1,1,0,1,1,0,1,0,0,0
addiction,0,1,0,0,0,0,0,0,0,0,0
addresses,1,0,0,1,0,0,0,0,0,0,0
adept,1,0,0,0,0,0,0,0,0,0,0
adequacy,1,0,0,0,0,0,0,0,0,0,0
adhering,0,0,0,0,0,0,0,0,0,1,0
adipose,0,1,0,0,0,0,0,0,0,0,0
adjudicate,0,1,0,0,0,1,0,0,0,0,0
adjunct,1,0,0,0,0,0,0,0,0,0,0
administrative,0,0,0,0,0,0,0,0,0,1,0
admirable,1,0,0,0,0,0,1,0,0,1,0
admiral,1,0,0,0,0,0,0,0,0,1,0
admiration,1,0,0,0,0,0,1,0,0,1,0
admire,1,0,0,0,0,0,0,0,0,1,1
admirer,1,0,0,0,0,0,0,0,0,0,0
admissible,1,0,0,0,0,0,0,0,0,1,0
admonition,0,1,0,0,0,1,0,0,0,0,0
adorable,1,0,0,0,0,0,1,0,0,0,1
adoration,1,0,0,0,0,0,1,0,0,1,0
adore,1,0,0,1,0,0,1,0,0,1,1
adrift,0,1,0,1,0,1,0,1,0,0,0
adulterated,0,1,0,0,0,0,0,0,0,0,0
adultery,0,1,0,0,1,0,0,1,0,0,0
advance,1,0,0,1,0,1,1,0,1,0,0
advanced,1,0,0,0,0,0,0,0,0,0,0
advancement,1,0,0,0,0,0,0,0,0,0,0
